93,3,1,1
94,3,2,1
95,3,3,1
96,3,4,1
97,3,5,1
98,3,6,1
99,3,7,1
100,3,8,1
101,3,9,1
102,3,10,1
103,3,15,1
104,3,11,1
180,3,12,1
181,3,13,1
182,3,14,1
93,4,1,1
94,4,2,1
95,4,3,1
96,4,4,1
97,4,5,1
98,4,6,1
99,4,7,1
100,4,8,1
101,4,9,1
102,4,10,1
103,4,15,1
104,4,11,1
180,4,12,1
181,4,13,1
182,4,14,1
93,5,1,1
94,5,2,1
95,5,3,1
96,5,4,1
97,5,5,1
98,5,6,1
99,5,7,1
100,5,8,1
101,5,9,1
102,5,10,1
103,5,15,1
104,5,11,1
180,5,12,1
181,5,13,1
182,5,14,1
93,6,1,1
94,6,2,1
95,6,3,1
96,6,4,1
97,6,5,1
98,6,6,1
99,6,7,1
100,6,8,1
101,6,9,1
102,6,10,1
103,6,15,1
104,6,11,1
180,6,12,1
181,6,13,1
182,6,14,1
93,9,1,1
94,9,2,1
95,9,3,1
96,9,4,1
97,9,5,1
98,9,6,1
99,9,7,1
100,9,8,1
101,9,9,1
102,9,10,1
103,9,15,1
104,9,11,1
180,9,12,1
181,9,13,1
182,9,14,1
93,10,1,1
94,10,2,1
95,10,3,1
96,10,4,1
97,10,5,1
98,10,6,1
99,10,7,1
100,10,8,1
101,10,9,1
102,10,10,1
103,10,15,1
104,10,11,1
180,10,12,1
181,10,13,1
182,10,14,1
93,15,1,1
94,15,2,1
95,15,3,1
96,15,4,1
97,15,5,1
98,15,6,1
99,15,7,1
100,15,8,1
101,15,9,1
102,15,10,1
103,15,15,1
104,15,11,1
180,15,12,1
181,15,13,1
182,15,14,1
93,16,1,1
94,16,2,1
95,16,3,1
96,16,4,1
97,16,5,1
98,16,6,1
99,16,7,1
100,16,8,1
101,16,9,1
102,16,10,1
103,16,15,1
104,16,11,1
180,16,12,1
181,16,13,1
182,16,14,1
93,18,1,1
94,18,2,1
95,18,3,1
96,18,4,1
97,18,5,1
98,18,6,1
99,18,7,1
100,18,8,1
101,18,9,1
102,18,10,1
103,18,15,1
104,18,11,1
180,18,12,1
181,18,13,1
182,18,14,1
93,21,1,1
94,21,2,1
95,21,3,1
96,21,4,1
97,21,5,1
98,21,6,1
99,21,7,1
100,21,8,1
101,21,9,1
102,21,10,1
103,21,15,1
104,21,11,1
180,21,12,1
181,21,13,1
182,21,14,1
93,7,1,1
94,7,2,1
95,7,3,1
96,7,4,1
97,7,5,1
98,7,6,1
99,7,7,1
100,7,8,1
101,7,9,1
102,7,10,1
103,7,15,1
183,7,16,1
184,7,17,1
185,7,18,1
186,7,19,1
93,8,1,1
94,8,2,1
95,8,3,1
96,8,4,1
97,8,5,1
98,8,6,1
99,8,7,1
100,8,8,1
101,8,9,1
102,8,10,1
103,8,15,1
183,8,16,1
184,8,17,1
185,8,18,1
186,8,19,1
93,11,1,1
94,11,2,1
95,11,3,1
96,11,4,1
97,11,5,1
98,11,6,1
99,11,7,1
100,11,8,1
101,11,9,1
102,11,10,1
103,11,15,1
183,11,16,1
184,11,17,1
185,11,18,1
186,11,19,1
93,12,1,1
94,12,2,1
95,12,3,1
96,12,4,1
97,12,5,1
98,12,6,1
99,12,7,1
100,12,8,1
101,12,9,1
102,12,10,1
103,12,15,1
183,12,16,1
184,12,17,1
185,12,18,1
186,12,19,1
93,13,1,1
94,13,2,1
95,13,3,1
96,13,4,1
97,13,5,1
98,13,6,1
99,13,7,1
100,13,8,1
101,13,9,1
102,13,10,1
103,13,15,1
183,13,16,1
184,13,17,1
185,13,18,1
186,13,19,1
93,14,1,1
94,14,2,1
95,14,3,1
96,14,4,1
97,14,5,1
98,14,6,1
99,14,7,1
100,14,8,1
101,14,9,1
102,14,10,1
103,14,15,1
183,14,16,1
184,14,17,1
185,14,18,1
186,14,19,1
93,17,1,1
94,17,2,1
95,17,3,1
96,17,4,1
97,17,5,1
98,17,6,1
99,17,7,1
100,17,8,1
101,17,9,1
102,17,10,1
103,17,15,1
183,17,16,1
184,17,17,1
185,17,18,1
186,17,19,1
